file,status,summary
AdminAccountBackendReadabilityTest.php,PASS,OK (1 test; 47 assertions)
AdminAccountCreatePrimaryKeyBoundaryClosureModuleTest.php,PASS,OK (2 tests; 14 assertions)
AdminAccountDeleteRouteTargetBoundaryClosureModuleTest.php,KILLED,
AdminAccountFieldModuleTest.php,PASS,OK (3 tests; 19 assertions)
AdminAccountListPasswordHiddenClosureModuleTest.php,KILLED,
AdminAccountListSoftDeleteBoundaryClosureModuleTest.php,PASS,OK (2 tests; 16 assertions)
AdminAccountResetPasswordClosureModuleTest.php,PASS,OK (3 tests; 25 assertions)
AdminAccountRoleStatusValidationClosureModuleTest.php,PASS,OK (3 tests; 21 assertions)
AdminAccountRouteIdValidationClosureModuleTest.php,PASS,OK (4 tests; 25 assertions)
AdminAccountRouteTargetBoundaryClosureModuleTest.php,PASS,OK (2 tests; 18 assertions)
AdminAccountUniqueIdentityClosureModuleTest.php,PASS,OK (3 tests; 20 assertions)
AdminAccountUpdateBlankPasswordClosureModuleTest.php,PASS,OK (2 tests; 16 assertions)
AdminAdminsJsCommentReadabilityTest.php,PASS,OK (2 tests; 15 assertions)
AdminAgentCommissionAgentIdValidationClosureModuleTest.php,PASS,OK (2 tests; 10 assertions)
AdminAgentConfirmationApproveRemarkClosureModuleTest.php,PASS,OK (2 tests; 10 assertions)
AdminAgentConfirmationModuleTest.php,PASS,OK (5 tests; 42 assertions)
AdminAgentDescendantsAgentIdValidationClosureModuleTest.php,PASS,OK (2 tests; 9 assertions)
AdminAgentDescendantsModuleTest.php,PASS,OK (2 tests; 43 assertions)
AdminAgentDetailAgentIdValidationClosureModuleTest.php,PASS,OK (2 tests; 9 assertions)
AdminAgentExportModuleTest.php,PASS,OK (6 tests; 30 assertions)
AdminAgentLevelAgentIdValidationClosureModuleTest.php,PASS,OK (2 tests; 10 assertions)
AdminAgentLevelCommissionValidationClosureModuleTest.php,PASS,OK (3 tests; 17 assertions)
AdminAgentLevelExistsValidationClosureModuleTest.php,PASS,OK (2 tests; 9 assertions)
AdminAgentLevelRouteIdValidationClosureModuleTest.php,PASS,OK (3 tests; 19 assertions)
AdminAgentLevelsJsCommentReadabilityTest.php,PASS,OK (2 tests; 16 assertions)
AdminAgentLevelUpdateFieldModuleTest.php,PASS,OK (3 tests; 8 assertions)
AdminAgentListExportAgentIdValidationClosureModuleTest.php,PASS,OK (3 tests; 14 assertions)
AdminAgentOperationPermissionMigrationTest.php,PASS,OK (1 test; 31 assertions)
AdminAgentRejectReasonTrimValidationClosureModuleTest.php,PASS,OK (2 tests; 12 assertions)
AdminAgentStatsDataScopeTest.php,PASS,OK (4 tests; 33 assertions)
AdminAgentStatsModuleTest.php,PASS,OK (7 tests; 50 assertions)
AdminAgentStatsUserIdValidationClosureModuleTest.php,PASS,OK (2 tests; 9 assertions)
AdminAuthControllerCommentReadabilityTest.php,PASS,OK (1 test; 35 assertions)
AdminAuthenticateMiddlewareLocalizationTest.php,PASS,OK (2 tests; 8 assertions)
AdminAuthenticationModuleTest.php,PASS,OK (6 tests; 45 assertions)
AdminAuthenticationUserIdValidationClosureModuleTest.php,PASS,OK (3 tests; 13 assertions)
AdminAuthModelCommentReadabilityTest.php,PASS,OK (1 test; 32 assertions)
AdminAuthReviewMt4SyncClosureModuleTest.php,PASS,OK (3 tests; 16 assertions)
AdminBatchAmountImportModuleTest.php,PASS,OK (8 tests; 94 assertions)
AdminBatchAmountImportMt4SyncClosureModuleTest.php,PASS,OK (7 tests; 53 assertions)
AdminBatchAmountImportNumericFilterValidationClosureModuleTest.php,PASS,OK (3 tests; 54 assertions)
AdminBatchAmountImportPermissionMigrationTest.php,PASS,OK (1 test; 37 assertions)
AdminBatchAmountImportRetryModuleTest.php,PASS,OK (7 tests; 49 assertions)
AdminBatchAmountImportStuckProcessingRecoveryClosureModuleTest.php,PASS,OK (3 tests; 14 assertions)
AdminBatchCreditImportModuleTest.php,PASS,OK (7 tests; 49 assertions)
AdminBatchCreditImportMt4SyncClosureModuleTest.php,PASS,OK (6 tests; 44 assertions)
AdminBatchCreditImportNumericFilterValidationClosureModuleTest.php,PASS,OK (3 tests; 33 assertions)
AdminBatchCreditImportPermissionMigrationTest.php,PASS,OK (1 test; 22 assertions)
AdminBatchCreditImportRetryModuleTest.php,PASS,OK (7 tests; 27 assertions)
AdminBatchImportRetryRouteIdValidationClosureModuleTest.php,PASS,OK (3 tests; 20 assertions)
AdminBigAgentBackendFieldAlignmentTest.php,PASS,OK (1 test; 38 assertions)
AdminBigAgentIdStatusValidationClosureModuleTest.php,PASS,OK (5 tests; 26 assertions)
AdminBigAgentsCommentReadabilityTest.php,PASS,OK (2 tests; 52 assertions)
AdminBigAgentSubAgentIntegrityClosureTest.php,PASS,OK (2 tests; 20 assertions)
AdminBigAgentWriteClosureTest.php,PASS,OK (3 tests; 19 assertions)
AdminBigNumberModuleTest.php,PASS,OK (3 tests; 16 assertions)
AdminBlacklistCommentReadabilityTest.php,PASS,OK (2 tests; 41 assertions)
AdminBlacklistRouteIdValidationClosureModuleTest.php,PASS,OK (3 tests; 19 assertions)
AdminBladeButtonPermissionCoverageTest.php,KILLED,
AdminBladeButtonPermissionRouteCoverageTest.php,PASS,OK (1 test; 369 assertions)
AdminBladeLoginControllerLocalizationTest.php,KILLED,
AdminBladeLoginViewConsistencyTest.php,PASS,OK (2 tests; 14 assertions)
AdminBladeModuleCoverageTest.php,KILLED,
AdminBladePagePanelModernizationTest.php,PASS,OK (1 test; 1 assertion)
AdminBladeUiTest.php,KILLED,
AdminBusinessPermissionMigrationTest.php,PASS,OK (1 test; 169 assertions)
AdminButtonPermissionVisibilityTest.php,PASS,OK (2 tests; 37 assertions)
AdminCancelAppliesCommentReadabilityTest.php,PASS,OK (2 tests; 37 assertions)
AdminCancelApplyApproveMt4ClosureModuleTest.php,PASS,OK (2 tests; 13 assertions)
AdminCancelApplyAtomicStorageClosureModuleTest.php,PASS,OK (2 tests; 4 assertions)
AdminCancelApplyDataScopeClosureTest.php,PASS,OK (1 test; 11 assertions)
AdminCancelApplyLifecycleClosureModuleTest.php,KILLED,
AdminCancelApplyListStatusFilterValidationClosureModuleTest.php,PASS,OK (2 tests; 8 assertions)
AdminCancelApplyReviewModuleTest.php,KILLED,
AdminCancelApplyRouteIdValidationClosureModuleTest.php,PASS,OK (3 tests; 21 assertions)
AdminChannelsJsCommentReadabilityTest.php,PASS,OK (2 tests; 17 assertions)
AdminCheckPermissionMiddlewareReadabilityTest.php,PASS,OK (1 test; 23 assertions)
AdminChineseCommentReadabilityTest.php,PASS,OK (3 tests; 1351 assertions)
AdminCommissionListAgentIdValidationClosureModuleTest.php,PASS,OK (2 tests; 8 assertions)
AdminCommissionListSettleStatusValidationClosureModuleTest.php,PASS,OK (4 tests; 14 assertions)
