序号,文件夹,界面端,UI家族,页面ID,效果图路由,图片文件
0001,front/layui,front,Layui,login,/ui/front?page=login,front/layui/0001__front__login.png
0002,front/layui,front,Layui,register,/ui/front?page=register,front/layui/0002__front__register.png
0003,front/layui,front,Layui,forgot-password,/ui/front?page=forgot-password,front/layui/0003__front__forgot-password.png
0004,front/layui,front,Layui,big-number-login,/ui/front?page=big-number-login,front/layui/0004__front__big-number-login.png
0005,front/layui,front,Layui,dashboard,/ui/front?page=dashboard,front/layui/0005__front__dashboard.png
0006,front/layui,front,Layui,profile,/ui/front?page=profile,front/layui/0006__front__profile.png
0007,front/layui,front,Layui,profile-edit,/ui/front?page=profile-edit,front/layui/0007__front__profile-edit.png
0008,front/layui,front,Layui,profile-password,/ui/front?page=profile-password,front/layui/0008__front__profile-password.png
0009,front/layui,front,Layui,profile-email,/ui/front?page=profile-email,front/layui/0009__front__profile-email.png
0010,front/layui,front,Layui,account-info,/ui/front?page=account-info,front/layui/0010__front__account-info.png
0011,front/layui,front,Layui,account-balance,/ui/front?page=account-balance,front/layui/0011__front__account-balance.png
0012,front/layui,front,Layui,account-voucher,/ui/front?page=account-voucher,front/layui/0012__front__account-voucher.png
0013,front/layui,front,Layui,account-cancel,/ui/front?page=account-cancel,front/layui/0013__front__account-cancel.png
0014,front/layui,front,Layui,deposit,/ui/front?page=deposit,front/layui/0014__front__deposit.png
0015,front/layui,front,Layui,withdraw,/ui/front?page=withdraw,front/layui/0015__front__withdraw.png
0016,front/layui,front,Layui,flow,/ui/front?page=flow,front/layui/0016__front__flow.png
0017,front/layui,front,Layui,position-summary,/ui/front?page=position-summary,front/layui/0017__front__position-summary.png
0018,front/layui,front,Layui,position-summary2,/ui/front?page=position-summary2,front/layui/0018__front__position-summary2.png
0019,front/layui,front,Layui,order-open,/ui/front?page=order-open,front/layui/0019__front__order-open.png
0020,front/layui,front,Layui,order-closed,/ui/front?page=order-closed,front/layui/0020__front__order-closed.png
0021,front/layui,front,Layui,agent-sub,/ui/front?page=agent-sub,front/layui/0021__front__agent-sub.png
0022,front/layui,front,Layui,agent-customers,/ui/front?page=agent-customers,front/layui/0022__front__agent-customers.png
0023,front/layui,front,Layui,agent-customer-detail,/ui/front?page=agent-customer-detail,front/layui/0023__front__agent-customer-detail.png
0024,front/layui,front,Layui,agent-confirm,/ui/front?page=agent-confirm,front/layui/0024__front__agent-confirm.png
0025,front/layui,front,Layui,agent-group-change,/ui/front?page=agent-group-change,front/layui/0025__front__agent-group-change.png
0026,front/layui,front,Layui,commission-realtime,/ui/front?page=commission-realtime,front/layui/0026__front__commission-realtime.png
0027,front/layui,front,Layui,commission-history,/ui/front?page=commission-history,front/layui/0027__front__commission-history.png
0028,front/layui,front,Layui,commission-transfer,/ui/front?page=commission-transfer,front/layui/0028__front__commission-transfer.png
0029,front/layui,front,Layui,gift-address,/ui/front?page=gift-address,front/layui/0029__front__gift-address.png
0030,front/layui,front,Layui,gift-list,/ui/front?page=gift-list,front/layui/0030__front__gift-list.png
0031,front/layui,front,Layui,news,/ui/front?page=news,front/layui/0031__front__news.png
0032,front/layui,front,Layui,news-detail,/ui/front?page=news-detail,front/layui/0032__front__news-detail.png
0033,front/crmui,front-crmui,CrmUI,login,/ui/front-crmui?page=login,front/crmui/0033__front-crmui__login.png
0034,front/crmui,front-crmui,CrmUI,register,/ui/front-crmui?page=register,front/crmui/0034__front-crmui__register.png
